City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Geraldton,AU,18.23,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
288,Inhambane,MZ,23.29,broken clouds,-23.865,35.3833,Oceano
289,Inongo,CD,21.79,overcast clouds,-1.95,18.2667,Hotel Du Lac
294,Matay,EG,22.11,clear sky,28.419,30.7792,Nag Aespen
301,Guane,CU,21.66,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
303,Platteville,US,15.05,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
304,Flinders,AU,16.32,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
305,Vila Franca Do Campo,PT,21.22,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
309,Redcliffe,AU,24.52,overcast clouds,-27.2307,153.0973,Scarborough Beach Resort
310,Eten,PE,16.42,overcast clouds,-6.9081,-79.8642,Hotel Las Brisas del Puerto
316,Pokhara,NP,20.36,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
317,Quatre Cocos,MU,20.06,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
319,Kamaishi,JP,16.56,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
325,Puerto El Triunfo,SV,25.0,overcast clouds,13.2833,-88.55,Hotel Jardin
329,Forio,IT,18.23,scattered clouds,40.7342,13.8646,Hotel Terme Providence
330,Bocana De Paiwas,NI,22.74,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
333,Bourail,NC,24.63,clear sky,-21.5667,165.4833,Motel Allamanda
335,Port Shepstone,ZA,19.37,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
338,Guerrero Negro,MX,21.46,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
340,Kaeo,NZ,17.96,light rain,-35.1,173.7833,Bushido Lodge
341,Eyl,SO,24.36,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
342,Hoquiam,US,15.99,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
343,Fontem,CM,18.84,light rain,5.4685,9.8818,Vista Palace Hotel
344,Ambilobe,MG,17.56,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
345,Jacqueville,CI,24.28,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
347,Carman,CA,16.19,broken clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
349,Holguin,CU,23.72,heavy intensity rain,20.8872,-76.2631,Casa Cables. Holguín
351,Ponta Delgada,PT,21.39,few clouds,37.7333,-25.6667,Vila Nova Hotel
352,Cabanas,CU,23.72,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
354,Casino,AU,21.55,light rain,-28.8667,153.05,Squatters Homestead Motel
357,Karera,IN,24.53,overcast clouds,25.4667,78.15,श्री हिमांशु जोशी (निवास)
