City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Palma Di Montechiaro,IT,37.1926,13.765,19.06,77,38,1.55,scattered clouds
159,Khani,GE,41.9563,42.9566,11.76,78,100,0.79,overcast clouds
160,San Cristobal,VE,7.7669,-72.225,24.1,97,100,0.72,overcast clouds
161,Poum,NC,-20.2333,164.0167,23.38,60,18,2.49,few clouds
162,Liuzhou,CN,24.3126,109.3892,29.87,57,14,2.45,few clouds
163,Wuning,CN,29.2589,120.2311,18.4,78,100,1.74,overcast clouds
164,North Platte,US,41.1239,-100.7654,16.66,69,0,0.45,clear sky
165,Norman Wells,CA,65.282,-126.8329,4.02,81,75,4.63,broken clouds
166,Rabo De Peixe,PT,37.8,-25.5833,20.71,89,20,2.06,few clouds
167,Nyanza,RW,-2.3519,29.7509,14.56,79,56,1.36,broken clouds
168,Severo-Kurilsk,RU,50.6789,156.125,7.79,90,100,9.97,light rain
169,Lebu,CL,-37.6167,-73.65,9.5,93,14,2.15,few clouds
170,Nome,US,64.5011,-165.4064,8.98,71,0,6.69,clear sky
171,Mahebourg,MU,-20.4081,57.7,20.16,83,40,1.54,scattered clouds
172,Kalmunai,LK,7.4167,81.8167,28.05,65,100,1.37,overcast clouds
173,Kondrovo,RU,54.8064,35.9278,6.27,95,100,3.35,overcast clouds
174,Arak,IR,34.0917,49.6892,14.63,20,0,1.35,clear sky
175,Coihaique,CL,-45.5752,-72.0662,7.97,81,100,1.03,light rain
176,Saskylakh,RU,71.9167,114.0833,-4.06,96,100,2.59,light snow
177,Hofn,IS,64.2539,-15.2082,7.41,78,100,2.53,overcast clouds
178,Sompeta,IN,18.9333,84.6,27.35,85,100,1.01,overcast clouds
179,Longyearbyen,SJ,78.2186,15.6401,0.63,86,15,3.23,few clouds
180,Ayagoz,KZ,47.9714,80.4392,0.35,51,0,5.98,clear sky
181,Tura,IN,25.5198,90.2201,23.18,92,100,1.16,overcast clouds
182,Saint-Georges,GD,12.0564,-61.7485,26.82,83,20,3.09,few clouds
183,Kruisfontein,ZA,-34.0033,24.7314,11.05,88,3,1.6,clear sky
184,Viedma,AR,-40.8135,-62.9967,11.12,88,62,4.81,broken clouds
185,Sept-Iles,CA,50.2001,-66.3821,11.0,91,100,1.54,overcast clouds
186,Tashla,RU,51.7716,52.7427,8.83,27,100,6.25,overcast clouds
187,Salalah,OM,17.0151,54.0924,25.05,83,0,1.54,clear sky
188,Partapur,IN,23.6,74.1667,26.22,57,86,1.63,overcast clouds
189,Santiago,CL,-33.4569,-70.6483,14.19,62,40,4.12,scattered clouds
190,Rio Branco Do Sul,BR,-25.19,-49.3142,12.9,93,97,1.64,overcast clouds
191,Constitucion,CL,-35.3333,-72.4167,9.95,91,38,2.86,scattered clouds
192,Tigil,RU,57.8,158.6667,5.8,79,100,7.87,light rain
193,Victoria,HK,22.2855,114.1577,32.32,76,35,2.68,scattered clouds
194,Salinas,US,36.6777,-121.6555,22.34,80,0,5.66,clear sky
195,Mustang,US,35.3842,-97.7245,24.03,38,40,3.09,scattered clouds
196,Zhezkazgan,KZ,47.8043,67.7144,0.99,37,0,5.0,clear sky
197,Itoman,JP,26.1247,127.6694,30.01,74,20,5.14,few clouds
198,Pokosnoye,RU,55.5258,101.0536,-0.81,74,90,1.79,overcast clouds
199,Cherskiy,RU,68.75,161.3,-2.09,59,9,4.36,clear sky
200,Namatanai,PG,-3.6667,152.4333,30.19,61,65,5.53,broken clouds
201,Krasnoarmeyskiy,RU,47.0114,42.2072,12.61,76,100,2.58,overcast clouds
202,Am Timan,TD,11.0297,20.2827,21.37,88,100,1.78,overcast clouds
203,Monopoli,IT,40.9559,17.2896,17.07,59,1,7.72,clear sky
204,Andenes,NO,69.3143,16.1194,9.99,71,100,9.26,overcast clouds
205,Hualmay,PE,-11.0964,-77.6139,16.03,81,27,5.01,scattered clouds
206,Flin Flon,CA,54.7682,-101.865,10.74,53,50,0.96,scattered clouds
207,Ostersund,SE,63.1792,14.6357,10.25,93,100,3.6,light rain
208,Harbour Breton,CA,47.4833,-55.7983,11.6,76,0,7.61,clear sky
209,Faanui,PF,-16.4833,-151.75,25.88,72,18,11.45,few clouds
210,Ahipara,NZ,-35.1667,173.1667,14.97,73,100,6.62,light rain
211,Palmer,US,42.1584,-72.3287,12.7,85,100,4.63,heavy intensity rain
212,Miles City,US,46.4083,-105.8406,17.54,63,0,3.09,clear sky
213,Tuatapere,NZ,-46.1333,167.6833,2.93,78,100,9.54,light rain
214,Zhigansk,RU,66.7697,123.3711,-3.44,74,100,2.57,overcast clouds
215,Saint-Francois,FR,46.4154,3.9054,7.69,100,100,1.03,fog
216,Moron,AR,-34.6534,-58.6198,16.86,90,6,2.88,clear sky
217,Meulaboh,ID,4.1363,96.1285,23.52,95,100,4.59,overcast clouds
218,Lyuban,BY,52.7985,28.0048,6.53,96,35,5.24,scattered clouds
219,Shaowu,CN,27.3409,117.4831,27.75,70,95,0.3,overcast clouds
220,Santa Luzia,BR,-19.7697,-43.8514,21.19,78,75,3.09,broken clouds
221,San Antonio,US,29.4241,-98.4936,26.44,39,0,2.06,clear sky
222,Mocuba,MZ,-16.8392,36.9856,20.91,60,0,1.73,clear sky
223,Cidreira,BR,-30.1811,-50.2056,15.35,86,3,1.89,clear sky
224,Vostok,RU,46.4856,135.8833,1.36,45,28,5.1,scattered clouds
225,Umm Lajj,SA,25.0213,37.2685,29.09,50,0,3.82,clear sky
226,Biltine,TD,14.5333,20.9167,28.49,42,20,1.21,few clouds
227,Tamandare,BR,-8.7597,-35.1047,23.49,81,23,2.59,few clouds
228,Mar Del Plata,AR,-38.0023,-57.5575,13.3,79,40,4.12,scattered clouds
229,Ostrovnoy,RU,68.0531,39.5131,7.79,93,100,5.03,overcast clouds
230,Souillac,MU,-20.5167,57.5167,20.21,83,40,1.54,scattered clouds
231,Frumoasa,RO,46.45,25.85,3.45,95,55,0.73,broken clouds
232,Svolvaer,NO,68.2342,14.5683,9.99,91,100,4.09,light rain
233,Ainazi,LV,57.8636,24.3578,11.21,82,100,3.88,overcast clouds
234,Ancud,CL,-41.8697,-73.8203,8.29,92,20,2.11,few clouds
235,Rocha,UY,-34.4833,-54.3333,9.31,93,0,1.96,clear sky
236,Grindavik,IS,63.8424,-22.4338,6.26,81,75,13.89,broken clouds
237,Los Llanos De Aridane,ES,28.6585,-17.9182,25.62,57,0,4.02,clear sky
238,North Bend,US,43.4065,-124.2243,16.25,90,100,2.57,overcast clouds
239,Molteno,ZA,-31.3968,26.3625,11.76,38,33,1.49,scattered clouds
240,Iqaluit,CA,63.7506,-68.5145,0.85,100,75,0.0,broken clouds
241,Cristuru Secuiesc,RO,46.2833,25.0333,4.48,93,66,0.63,broken clouds
242,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.2,93,100,2.57,overcast clouds
243,Kysyl-Syr,RU,63.8986,122.7617,-2.23,65,100,3.43,overcast clouds
244,Pula,HR,44.8683,13.8481,13.31,88,0,1.54,clear sky
245,Pevek,RU,69.7008,170.3133,-2.44,73,83,3.01,broken clouds
246,Beira,MZ,-19.8436,34.8389,22.05,94,40,2.06,scattered clouds
247,Bambanglipuro,ID,-7.95,110.2833,26.66,76,100,4.01,overcast clouds
248,Sechura,PE,-5.5569,-80.8222,16.91,80,92,6.77,overcast clouds
249,Prachuap Khiri Khan,TH,12.2167,99.75,24.18,87,100,1.13,moderate rain
250,Severnoye,RU,56.3491,78.3619,5.38,97,100,3.24,overcast clouds
251,Gari,RU,59.4307,62.3497,5.34,78,99,2.39,overcast clouds
252,Yelizavetino,RU,59.4916,29.7938,6.31,97,100,1.56,overcast clouds
253,Comodoro Rivadavia,AR,-45.8667,-67.5,14.92,33,0,8.23,clear sky
254,Hami,CN,42.8,93.45,13.01,52,100,1.74,overcast clouds
255,Batagay,RU,67.6333,134.6333,-6.43,82,98,0.6,overcast clouds
256,Eyrarbakki,IS,63.863,-21.1481,5.67,74,100,11.63,overcast clouds
257,The Valley,AI,18.217,-63.0578,27.92,77,21,9.15,few clouds
258,Nioro,GM,13.35,-15.75,24.8,95,74,2.47,light rain
259,Puquio,PE,-14.7,-74.1333,9.79,41,3,0.73,clear sky
260,Tabou,CI,4.423,-7.3528,24.6,91,100,2.85,overcast clouds
261,Adrar,MR,20.5022,-10.0711,32.38,17,39,4.56,scattered clouds
262,Agropoli,IT,40.3469,14.9966,17.27,56,13,2.43,few clouds
263,Imbituba,BR,-28.24,-48.6703,14.14,82,35,1.68,scattered clouds
264,Kahului,US,20.8947,-156.47,29.01,74,40,8.23,light rain
265,Sitka,US,57.0531,-135.33,18.94,42,40,6.69,scattered clouds
266,Popondetta,PG,-8.7537,148.2534,32.07,56,99,3.42,overcast clouds
267,Great Yarmouth,GB,52.6083,1.7305,16.25,82,100,9.7,overcast clouds
268,Korla,CN,41.7597,86.1469,13.05,26,7,6.18,clear sky
269,Katsuura,JP,35.1333,140.3,24.01,84,100,9.63,overcast clouds
270,Rosita,NI,13.9268,-84.4032,23.05,98,100,1.21,overcast clouds
271,Deputatskiy,RU,69.3,139.9,-11.45,90,73,0.82,broken clouds
272,Sioux Lookout,CA,50.1001,-91.917,14.04,94,75,2.06,broken clouds
273,Miquelon,PM,47.0975,-56.3814,10.0,74,1,8.1,clear sky
274,Sobolevo,RU,54.4299,31.8996,6.12,92,100,5.53,overcast clouds
275,Pangkalanbuun,ID,-2.6833,111.6167,28.62,72,100,0.91,overcast clouds
276,Caucaia,BR,-3.7361,-38.6531,26.13,75,20,3.6,few clouds
277,Tanabe,JP,33.7333,135.3667,25.56,78,40,4.63,scattered clouds
